VTI,0.008744096504896104
ITOT,0.03315457171188686
SCHB,0.008660062059175806
VEA,0.009005253766841055
IXUS,0.009006247055543896
SCHF,0.00900180449700523
VWO,0.012817315984159626
IEMG,0.011957412638825805
SCHE,0.012565598921055167
VIG,0.008170940004952098
DVY,0.008728086135973834
SCHD,0.008194423582242328
VGSH,0.0006009119328207718
IEF,0.0038426720492724916
TLT,0.00899420966334659
MUB,0.0027207342990558767
TFI,0.0026875261802596956
PZA,0.003125755484828653
SCHP,0.003659479341852755
TIP,0.0036401288706529233
IPE,0.0038854664508819283
XLE,0.013917700422810148
DJP,0.009509671583128569
VDE,0.014337020899386127
