,risk,return
0,0.009513931,0.000641697
1,0.00951384,0.000641696
2,0.009513733,0.000641694
3,0.009513603,0.000641693
4,0.009513442,0.000641691
5,0.009513239,0.000641688
6,0.009512979,0.000641685
7,0.009512647,0.000641681
8,0.009512221,0.000641675
9,0.009511681,0.000641668
10,0.009511,0.000641659
11,0.009510146,0.000641648
12,0.009509086,0.000641634
13,0.009507778,0.000641617
14,0.009506172,0.000641596
15,0.009504205,0.000641571
16,0.009501798,0.000641539
17,0.009514349,0.000641704
18,0.00951419,0.000641702
19,0.009513717,0.000641696
20,0.009512162,0.000641676
21,0.009508216,0.000641626
22,0.009499622,0.000641515
23,0.00948493,0.000641318
24,0.00945113,0.000640805
25,0.009440084,0.000640618
26,0.009429027,0.000640415
27,0.009418665,0.000640205
28,0.009409541,0.00064
29,0.009401895,0.000639808
30,0.009395682,0.000639634
31,0.009390701,0.000639477
32,0.009386718,0.000639336
33,0.009383511,0.000639207
34,0.00938083,0.000639084
35,0.009378365,0.000638952
36,0.009371765,0.000638521
37,0.009353164,0.000637281
38,0.008515423,0.000580883
39,0.007676025,0.000523753
40,0.006869276,0.000468423
41,0.006127827,0.000417418
42,0.00546715,0.000372026
43,0.00487957,0.00033156
44,0.004357986,0.000295515
45,0.003892036,0.000263375
46,0.003479774,0.000234752
47,0.003112571,0.000209236
48,0.002786827,0.000186495
49,0.00249784,0.00016623
50,0.00224277,0.000148208
51,0.002015442,0.000132063
52,0.001816208,0.000117743
53,0.00164097,0.000104995
54,0.001487281,9.36E-05
55,0.001352964,8.35E-05
56,0.001235984,7.45E-05
57,0.001134571,6.65E-05
58,0.001047952,5.94E-05
59,0.00097231,5.30E-05
60,0.000907995,4.73E-05
61,0.000853725,4.23E-05
62,0.000808021,3.78E-05
63,0.000769784,3.38E-05
64,0.000737999,3.02E-05
65,0.00071174,2.70E-05
66,0.000690166,2.41E-05
67,0.000672537,2.16E-05
68,0.000658164,1.93E-05
69,0.000646491,1.73E-05
70,0.00063705,1.55E-05
71,0.00062943,1.38E-05
72,0.000623273,1.24E-05
73,0.000618257,1.10E-05
74,0.000614765,1.01E-05
75,0.000610771,8.70E-06
76,0.000607797,7.69E-06
77,0.000605056,6.56E-06
78,0.000602777,5.52E-06
79,0.000600831,4.54E-06
80,0.00059925,3.67E-06
81,0.000598066,2.92E-06
82,0.000597344,2.41E-06
83,0.00059596,1.31E-06
84,0.000594881,3.45E-07
85,0.000594187,-3.35E-07
86,0.000593931,-6.60E-07
87,0.000593571,-1.03E-06
88,0.000593436,-1.22E-06
89,0.000593333,-1.38E-06
90,0.000593252,-1.53E-06
91,0.000593189,-1.65E-06
92,0.000593138,-1.76E-06
93,0.000593098,-1.86E-06
94,0.000593066,-1.95E-06
95,0.00059304,-2.03E-06
96,0.00059302,-2.10E-06
97,0.000593004,-2.17E-06
98,0.000592991,-2.22E-06
99,0.000592981,-2.27E-06
